WKT,gid,stop_a,stop_b,koereplan_version,meter
"LINESTRING (10.1526255 55.9253806,10.152665 55.925402,10.152702 55.925455,10.152698 55.925536,10.152639 55.925652,10.153452 55.92601,10.153943 55.926243,10.154067 55.926197,10.15424 55.926133,10.154442 55.92606,10.154532 55.926014,10.154909 55.925835,10.155136 55.925737,10.155573 55.925531,10.155909 55.925374,10.159416 55.923738,10.1597 55.923578,10.159895 55.923426,10.160095 55.923214,10.160178 55.923094,10.16162 55.919707,10.162099 55.918268,10.16225 55.917865,10.164545 55.911134,10.164841 55.910259,10.164983 55.909849,10.165442 55.908481,10.16547 55.908312,10.165472 55.908077,10.165475 55.908054,10.165396 55.907725,10.164827 55.905608,10.164311 55.903652,10.164269 55.903329,10.164275 55.903073,10.164295 55.902831,10.164369 55.902459,10.164643 55.901531,10.164847 55.900827,10.165233 55.899537,10.165374 55.899059,10.165831 55.897533,10.16674 55.894472,10.166797 55.894275,10.16684 55.894154,10.166851 55.894123,10.166889 55.893989,10.167028 55.893494,10.167114 55.893189,10.167157 55.893036,10.167203 55.892768,10.167225 55.892649,10.167256 55.892471,10.167265 55.89242,10.167293 55.892256,10.168486 55.892108,10.170165 55.891848,10.170418 55.891809,10.170527 55.89178,10.170668 55.891742,10.171434 55.891453,10.171273 55.891201,10.171133 55.890935,10.170817 55.890913,10.170163 55.890868,10.1698299 55.8908441)","198972","727000101","727200001",K22,"4573"
"LINESTRING (10.1525869 55.9253597,10.152303 55.925206,10.152239 55.925213,10.152142 55.925222,10.151839 55.925295,10.151245 55.925029,10.150249 55.924591,10.149737 55.924366,10.148338 55.923755,10.147823 55.923529,10.147042 55.923186,10.146956 55.923149,10.14509 55.922334,10.142644 55.921266,10.142406 55.921166,10.1417699 55.9208776)","177769","727000102","727000131",K22,"854"
"LINESTRING (10.1525869 55.9253597,10.152665 55.925402,10.152702 55.925455,10.152698 55.925536,10.152639 55.925652,10.153452 55.92601,10.153943 55.926243,10.154067 55.926197,10.15424 55.926133,10.154442 55.92606,10.154532 55.926014,10.154909 55.925835,10.155136 55.925737,10.155573 55.925531,10.155909 55.925374,10.159416 55.923738,10.1597 55.923578,10.159895 55.923426,10.160095 55.923214,10.160178 55.923094,10.16162 55.919707,10.162099 55.918268,10.16225 55.917865,10.164545 55.911134,10.164841 55.910259,10.164983 55.909849,10.165442 55.908481,10.16547 55.908312,10.165475 55.908054,10.165396 55.907725,10.164827 55.905608,10.164311 55.903652,10.164269 55.903329,10.164275 55.903073,10.164295 55.902831,10.164369 55.902459,10.164643 55.901531,10.164847 55.900827,10.165233 55.899537,10.165374 55.899059,10.165831 55.897533,10.16674 55.894472,10.166797 55.894275,10.16684 55.894154,10.166851 55.894123,10.166889 55.893989,10.167028 55.893494,10.1670782 55.8933158)","177737","727000102","727000301",K22,"4038"
"LINESTRING (10.1525869 55.9253597,10.152665 55.925402,10.152702 55.925455,10.152698 55.925536,10.152639 55.925652,10.153452 55.92601,10.153943 55.926243,10.154057 55.926333,10.154126 55.926403,10.154197 55.926502,10.154248 55.926612,10.154283 55.926744,10.154332 55.926977,10.154664 55.928821,10.154692 55.92906,10.154703 55.929319,10.154662 55.929634,10.154634 55.929735,10.154532 55.930102,10.154446 55.930407,10.154373 55.930668,10.154225 55.931212,10.153639 55.933368,10.153525 55.933752,10.153394 55.934063,10.15325 55.934334,10.153064 55.934633,10.152634 55.935275,10.1512856 55.9372895,10.149937 55.939304,10.149813 55.939657,10.149767 55.939857,10.149752 55.940128,10.149864 55.940823,10.150768 55.944744,10.151105 55.946168,10.151447 55.947628,10.151993 55.949954,10.152003 55.950001,10.1526774 55.952889,10.153352 55.955777,10.1534 55.956143,10.153386 55.956464,10.153271 55.956843,10.153026 55.957281,10.152652 55.957717,10.151115 55.959392,10.148484 55.962233,10.148261 55.962536,10.148095 55.962813,10.147983 55.96311,10.147943 55.963407,10.147936 55.963681,10.148184 55.964987,10.148246 55.965313,10.148378 55.966011,10.148528 55.966723,10.148694 55.967377,10.148773 55.967384,10.148843 55.967405,10.148896 55.967438,10.148925 55.96748,10.148925 55.967536,10.148882 55.967586,10.148806 55.967622,10.148709 55.967637,10.148809 55.968078,10.148875 55.968365,10.148971 55.968847,10.149098 55.969485,10.149107 55.96953,10.14915 55.969736,10.149202 55.969987,10.149291 55.970416,10.149396 55.970958,10.149435 55.971159,10.149497 55.9714744)","198970","727000102","727000701",K22,"5342"
"LINESTRING (10.1525869 55.9253597,10.152665 55.925402,10.152702 55.925455,10.152698 55.925536,10.152639 55.925652,10.153452 55.92601,10.153943 55.926243,10.154067 55.926197,10.15424 55.926133,10.154442 55.92606,10.154532 55.926014,10.154909 55.925835,10.155136 55.925737,10.155573 55.925531,10.155909 55.925374,10.159416 55.923738,10.1597 55.923578,10.159895 55.923426,10.160095 55.923214,10.160178 55.923094,10.16162 55.919707,10.162099 55.918268,10.16225 55.917865,10.164545 55.911134,10.164841 55.910259,10.164983 55.909849,10.165442 55.908481,10.16547 55.908312,10.165475 55.908054,10.165396 55.907725,10.164827 55.905608,10.1648204 55.9055829)","199001","727000102","727201809",K22,"2655"
"LINESTRING (10.1427659 55.9213192,10.14509 55.922334,10.146956 55.923149,10.147042 55.923186,10.147823 55.923529,10.148338 55.923755,10.149737 55.924366,10.150249 55.924591,10.151245 55.925029,10.151839 55.925295,10.152142 55.925222,10.152239 55.925213,10.152303 55.925206,10.1525869 55.9253597)","177827","727000132","727000102",K22,"775"
"LINESTRING (10.232814 55.974626,10.231971 55.974612,10.231722 55.975676,10.231485 55.976885,10.231438 55.977259,10.231348 55.978258,10.231314 55.9785895)","177225","727000201","727000622",K22,"498"
"LINESTRING (10.1672461 55.8925273,10.167225 55.892649,10.167203 55.892768,10.167157 55.893036,10.167114 55.893189,10.167028 55.893494,10.166889 55.893989,10.166851 55.894123,10.16684 55.894154,10.166797 55.894275,10.16674 55.894472,10.165831 55.897533,10.165374 55.899059,10.1652846 55.899362)","196891","727000302","727000509",K22,"771"
"LINESTRING (10.2317152 55.974608,10.231971 55.974612,10.231722 55.975676,10.231485 55.976885,10.231438 55.977259,10.231348 55.978258,10.231314 55.9785895)","177503","727000402","727000622",K22,"461"
"LINESTRING (10.2277401 55.9745506,10.230232 55.974586,10.230272 55.974586,10.231971 55.974612,10.231722 55.975676,10.231485 55.976885,10.231438 55.977259,10.231348 55.978258,10.231314 55.9785895)","198834","727000422","727000622",K22,"709"
